id,kvkid,latitude,Ulatitude,longitude1,statename,zone,district,kvkname,address,address_og,yearsetup_chk,exposure,vulnerability,historicalhazard,futurehazard,risk,kvktype,longitude,Ulongitude,idmaster,location,Ulocation,match,idusing,lat,v3,_merge
5,686,9.149764,9.149764,76.51406900000001,Kerala,ICAR-Agricultural Technology Application Research Institute(Zone XI: earlier Zone VIII),Alleppey,Krishi Vigyan Kendra Alleppey (ICAR),"Krishi   Krishi    Vigyan Kendra,      CPCRI Regional Station,      PO. Krishnapuram, Kayamkulam,      Distt. Alleppey-690 533","Krishi   Krishi    Vigyan Kendra,      CPCRI Regional Station,      PO. Krishnapuram, Kayamkulam,      Distt. Alleppey-690 533",2004,,,,,,ICAR,76.51407,76.51407,705,Alleppey,Alappuzha,.88008589,709,9.1497641,76.514069,3
51,183,27.958377,27.95838,78.084469,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Aligarh,Krishi Vigyan Kendra Aligarh,"Krishi Vigyan Kendra,Central Dairy Farm Complex, Anoopshahar Rd., Distt. Aligarh-202 001","Krishi Vigyan Kendra,Central Dairy Farm Complex, Anoopshahar Rd., Distt. Aligarh-202 001",1992,53,523,228,99,254,SAU,78.08447,78.08447,249,Aligarh,Aligarh,1,578,27.958378,78.084473,3
49,572,21.238252,22.31719,81.70483900000001,Madhya Pradesh,ICAR-Agricultural Technology Application Research Institute(Zone IX:earlier Zone VII),Alirajpur,Krishi Vigyan Kendra Alirajpur,"Krishi Vigyan Kendra,Vill.Borekhed,Distt. Alirajpur-462 038","Krishi Vigyan Kendra,Vill.Borekhed,Distt. Alirajpur-462 038",2017,,,,,,SAU,81.70484,74.35596,641,Alirajpur,Alirajpur,1,241,22.317188,74.355965,3
52,184,25.413082,25.41308,81.8479,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Allahabad,Krishi Vigyan Kendra Allahabad,"Krishi Vigyan Kendra,C/o Allahabad Agricultural Deemed University,Distt. Allahabad-211007","Krishi Vigyan Kendra,C/o Allahabad Agricultural Deemed University,Distt. Allahabad-211007",1992,106,446,198,44,105,DU,81.8479,81.8479,214,Allahabad,Allahabad (Prayagraj 1),.98794395,404,25.413082,81.8479,3
5,61,29.795998,29.796,79.19329500000001,Uttrakhand,ICAR-Agricultural Technology Application Research Institute(Zone I),Almora,Krishi Vigyan Kendra Almora,"Krishi Vigyan Kendra,      Chaubatia, Ranikhet,      Distt. Almora-263651","Krishi Vigyan Kendra,      Chaubatia, Ranikhet,      Distt. Almora-263651",2004,466,67,280,23,50,SAU,79.1933,79.1933,306,Almora,Almora,1,635,29.795998,79.193298,3
9,97,27.648146,27.64815,76.866401,Rajasthan,ICAR-Agricultural Technology Application Research Institute (Zone II: earlier Zone VI,Alwar,Krishi Vigyan Kendra Alwar,"Krishi Vigyan Kendra,Navgaon,Distt. Alwar-301 025","Krishi Vigyan Kendra,Navgaon,Distt. Alwar-301 025",1992,224,219,81,111,17,SAU,76.8664,76.8664,95,Alwar,Alwar 1,.99772835,567,27.648146,76.866402,3
33,121,27.75339,27.75339,76.357874,Rajasthan,ICAR-Agricultural Technology Application Research Institute (Zone II: earlier Zone VI,Alwar,Krishi Vigyan Kendra Alwar 2nd,"Krishi Vigyan KendraVill. -Gunta, Tehsil -Bansur, Alwar District","Krishi Vigyan KendraVill. -Gunta, Tehsil -Bansur, Alwar District",2012,224,219,81,111,17,ICAR,76.35787,76.35787,96,Alwar,Alwar 2,.99789643,572,27.753389,76.357872,3
7,77,30.305424,30.30542,76.92953900000001,Haryana,ICAR-Agricultural Technology Application Research Institute (Zone II: earlier Zone VI,Ambala,Krishi Vigyan Kendra Ambala,"Krishi Vigyan Kendra,      Village Tepla, PO. Saha,      Distt. Ambala-133 104","Krishi Vigyan Kendra,      Village Tepla, PO. Saha,      Distt. Ambala-133 104",1995,146,570,174,117,501,NGO,76.92954,76.92954,191,Ambala,Ambala,1,645,30.305424,76.929543,3
1,133,26.377503,26.3775,82.44567499999999,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Ambedkar Nagar,Krishi Vigyan Kendra Ambedkar Nagar,"Krishi Vigyan Kendra,Distt. Ambedkar Nagar-","Krishi Vigyan Kendra,Distt. Ambedkar Nagar-",2010,41,504,133,440,305,SAU,82.44567,82.44568,145,Ambedkar Nagar,Ambedkar Nagar,1,478,26.377502,82.445679,3
71,203,26.1541,26.50538,81.8142,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Amethi,Krishi Vigyan Kendra Amethi,"Krishi Vigyan KendraVillage & PO Kathora, Block Jagdishpur,Tehsil Musafirkhana,Distt. Amethi, Uttar Pradesh..","Krishi Vigyan KendraVillage & PO Kathora, Block Jagdishpur,Tehsil Musafirkhana,Distt. Amethi, Uttar Pradesh..",2018,,,,,,SAU,81.8142,81.5293,663,Amethi,Amethi,1,489,26.505381,81.529297,3
17,436,20.923814,20.92381,77.888397,Maharashtra,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Amaravathi,Krishi Vigyan Kendra Amaravathi,"Krishi Vigyan Kendra,“Chirantan” Madhuban Colony, Camp,Distt. Amaravathi 444 602","Krishi Vigyan Kendra,“Chirantan” Madhuban Colony, Camp,Distt. Amaravathi 444 602",1995,304,164,359,485,413,NGO,77.8884,77.8884,428,Amaravathi,Amravati 1,.98026258,185,20.923815,77.888397,3
18,437,20.83916,20.83916,77.714603,Maharashtra,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Amaravati,Krishi Vigyan Kendra Amaravati,"Krishi Vigyan Kendra, Akola,PO.Badnera (Durgapur)Amaravati-444 701","Krishi Vigyan Kendra, Akola,PO.Badnera (Durgapur)Amaravati-444 701",1995,304,164,359,485,413,NGO,77.7146,77.7146,429,Amaravati,Amravati 2,.99176109,181,20.839161,77.7146,3
12,478,21.601208,21.60121,71.22846800000001,Gujarat,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Amreli,Krishi Vigyan Kendra Amreli,"Krishi Vigyan Kendra,      Agril. Research Farm,      Keria Road,      Distt. Amreli-365601","Krishi Vigyan Kendra,      Agril. Research Farm,      Keria Road,      Distt. Amreli-365601",2004,320,351,30,568,548,SAU,71.22847,71.22847,34,Amreli,Amreli,1,208,21.601208,71.22847,3
6,40,31.707344,31.70734,74.93926999999999,Punjab,ICAR-Agricultural Technology Application Research Institute(Zone I),Amritsar,Krishi Vigyan Kendra Amritsar,"Krishi Vigyan Kendra,Usman,Dist Amritsar-143 001","Krishi Vigyan Kendra,Usman,Dist Amritsar-143 001",2004,147,554,53,497,517,SAU,74.93927,74.93927,57,Amritsar,Amritsar ,.99976385,674,31.707344,74.93927,3
78,202,27.8085,29.50667,78.6461,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Amroha,Krishi Vigyan Kendra Kasganj,"Krishi Vigyan Kendra,Village Rajkiya Krishi Prakshetra,Tarapur, Block Gajraula, The. Dhanaura,Distt. Amroha, Uttar Pradesh","Krishi Vigyan Kendra,Village Rajkiya Krishi Prakshetra,Tarapur, Block Gajraula, The. Dhanaura,Distt. Amroha, Uttar Pradesh",2018,,,,,,SAU,78.6461,78.78083,653,Amroha,Amroha,1,624,29.506666,78.78083,3
21,487,22.537585,22.53758,72.70146800000001,Gujarat,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Anand,Krishi Vigyan Kendra Anand,"Krishi Vigyan Kendra,      Anand Devataj Sojitra      Distt. Anand-387240","Krishi Vigyan Kendra,      Anand Devataj Sojitra      Distt. Anand-387240",1985,131,524,7,536,269,SAU,72.70147,72.70147,7,Anand,Anand  ,.99784309,252,22.537584,72.701469,3
2,610,.,14.6953,,Andhra Pradesh,ICAR-Agricultural Technology Application Research Institute(Zone X : earlier Zone V),Anantapur,Krishi Vigyan Kendra Anantapur,"Krishi Vigyan Kendra,       Acharya N.G. Ranga  Agricultural University, #  8-881, Jainagar Colony     Kalyandurg, Anantapur515761, Andhra Pradesh","Krishi Vigyan Kendra,       Acharya N.G. Ranga  Agricultural University, #  8-881, Jainagar Colony     Kalyandurg, Anantapur515761, Andhra Pradesh",2010,434,63,243,248,103,SAU,.,77.63495,271,Anantapur,Anantapur 1,.99539232,63,14.695304,77.634949,3
1,609,14.695304,14.6953,77.63494799999999,Andhra Pradesh,ICAR-Agricultural Technology Application Research Institute(Zone X : earlier Zone V),Anantapur,Krishi Vigyan Kendra Anantapur,"Krishi Vigyan Kendra      DCMS Bulding ,Kamalanagar Anantapur-515001, Andhra Pradesh","Krishi Vigyan Kendra      DCMS Bulding ,Kamalanagar Anantapur-515001, Andhra Pradesh",1983,434,63,243,248,103,SAU,77.63495,77.63495,270,Anantapur,Anantapur 1,.99932128,63,14.695304,77.634949,3
14,29,33.605603,33.6056,75.187004,Jammu And Kashmir,ICAR-Agricultural Technology Application Research Institute(Zone I),Anantnag,Krishi Vigyan Kendra Anantnag,"Krishi Vigyan KendraVill.- Kreri & Nowpora, ATehsil- Dooru, Distt. – Anantnag","Krishi Vigyan KendraVill.- Kreri & Nowpora, ATehsil- Dooru, Distt. – Anantnag",2012,360,285,280,98,213,SAU,75.187,75.187,330,Anantnag,Anantnag,1,689,33.605602,75.187004,3
21,294,20.818136,20.81814,85.06710699999999,Odisha,ICAR-Agricultural Technology Application Research Institute(Zone V: earlier Zone II),Angul,Krishi Vigyan Kendra Angul,"Krishi Vigyan Kendra,      259, Vikash Nagar, PO. PTC,      Distt. Angul-759 123","Krishi Vigyan Kendra,      259, Vikash Nagar, PO. PTC,      Distt. Angul-759 123",1994,517,212,435,102,331,SAU,85.06711,85.06711,507,Angul,Angul,1,179,20.818136,85.067108,3
14,370,28.0808,28.0808,96.5181,Arunachal Pradesh,ICAR-Agricultural Technology Research Application Institute (Zone VI),Anjaw,Krishi Vigyan Kendra Anjaw,"Krishi Vigyan Kendra ,At Metengliang Village,Metengliang Circle, Changlongam C.D. Block, Hayuliang P.O., Anjaw Distt.(Arunachal Pradesh)","Krishi Vigyan Kendra ,At Metengliang Village,Metengliang Circle, Changlongam C.D. Block, Hayuliang P.O., Anjaw Distt.(Arunachal Pradesh)",2013,,,,,,ICAR,96.5181,96.5181,685,Anjaw,Anjaw,1,583,28.080799,96.518097,3
15,222,26.118401,26.1184,87.449288,Bihar,ICAR-Agricultural Technology Application Research Institute (Zone IV),Araria,Krishi Vigyan Kendra Araria,"Krishi Vigyan Kendra,Distt. Araria-854311","Krishi Vigyan Kendra,Distt. Araria-854311",2004,214,349,426,211,355,SAU,87.44929,87.44929,471,Araria,Araria,1,457,26.118401,87.449287,3
1,576,11.136816,11.13682,79.404816,Tamilnadu,ICAR-Agricultural Technology Application Research Institute(Zone X : earlier Zone V),Ariyalur,Krishi Vigyan Kendra Ariyalur (NGO),"Krishi Vigyan Kendra,Ariyalur","Krishi Vigyan Kendra,Ariyalur",2009,160,227,60,564,436,NGO,79.40482,79.40482,67,Ariyalur,Ariyalur  ,.99912018,13,11.136816,79.404816,3
1,208,25.142229,25.14223,84.50457,Bihar,ICAR-Agricultural Technology Application Research Institute (Zone IV),Arwal,Krishi Vigyan Kendra Arwal,"Krishi Vigyan KerndraLodhipur Agriuclture Farm,Distt. Arwal","Krishi Vigyan KerndraLodhipur Agriuclture Farm,Distt. Arwal",2008,,,,,,SAU,84.50457,84.50457,690,Arwal,Arwal,1,383,25.142229,84.50457,3
2,525,24.575202,24.5752,77.737568,Madhya Pradesh,ICAR-Agricultural Technology Application Research Institute(Zone IX:earlier Zone VII),Ahoknagar,Krishi Vigyan Kendra Ashoknagar,"Krishi Vigyan Kendra,Vilalge Aawari,Distt. Ahoknagar-","Krishi Vigyan Kendra,Vilalge Aawari,Distt. Ahoknagar-",2007,,,,,,SAU,77.73757,77.73757,692,Ahoknagar,Ashoknagar,.99608272,349,24.575203,77.737572,3
7,139,26.626199,26.6262,79.508195,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Auraiya,Krishi Vigyan Kendra Auraiya,"Krishi Vigyan Kendra,Village Parwaha,District Auraiya-","Krishi Vigyan Kendra,Village Parwaha,District Auraiya-",2007,79,419,101,133,57,NGO,79.5082,79.50819,116,Auraiya,Auraiya,1,503,26.6262,79.508194,3
8,215,24.833264,24.83326,84.287009,Bihar,ICAR-Agricultural Technology Application Research Institute (Zone IV),Aurangabad,Krishi Vigyan Kendra Aurangabad,"Krishi Vigyan Kendra,Sirish Agricultural Farm,Distt. Aurangabad-824112","Krishi Vigyan Kendra,Sirish Agricultural Farm,Distt. Aurangabad-824112",2006,105,447,359,379,470,SAU,84.28701,84.28701,443,Aurangabad BR,Aurangabad BR,1,366,24.833263,84.28701,3
35,454,19.847803,19.8478,75.2967,Maharashtra,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Aurangabad,Krishi Vigyan Kendra Aurangabad,"Krishi Vigyan Kendra,Paithan Road,Distt. Aurangabad-431 005","Krishi Vigyan Kendra,Paithan Road,Distt. Aurangabad-431 005",1983,197,170,359,526,475,SAU,75.2967,75.2967,445,Aurangabad,Aurangabad MH 1,.99737102,147,19.847803,75.2967,3
42,461,19.847803,19.8478,75.2967,Maharashtra,ICAR-Agricultural Technology Research Application Institute (Zone VIII),Aurangabad(Maharashtra),Krishi Vigyan Kendra Aurangabad,"Krishi Vigyan KendraVillage- Gandheli,Tq. & Distt.-Aurangabad(Maharashtra)","Krishi Vigyan KendraVillage- Gandheli,Tq. & Distt.-Aurangabad(Maharashtra)",2011,197,170,359,526,475,NGO,75.2967,75.2967,444,Aurangabad(Maharashtra),Aurangabad MH 2,.99143928,148,19.847803,75.2967,3
27,159,26.275186,26.27519,82.770995,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Azamgarh,Krishi Vigyan Kendra Azamgarh,"Krishi Vigyan Kendra,195-A,Singh Niketan Harbanshpur,Distt. Azamgarh-276001","Krishi Vigyan Kendra,195-A,Singh Niketan Harbanshpur,Distt. Azamgarh-276001",2004,23,470,329,319,318,SAU,82.77099,82.771,357,Azamgarh,Azamgarh 1,.99898541,468,26.275187,82.770996,3
4,652,16.145478,16.14548,75.69206,Karnataka,ICAR-Agricultural Technology Application Research Institute(Zone XI: earlier Zone VIII),Bagalkot,Krishi Vigyan Kendra Bagalkot (SAU),"Krishi Vigyan Kendra,      Agricultural Research Station,      Distt. Bagalkot-587101","Krishi Vigyan Kendra,      Agricultural Research Station,      Distt. Bagalkot-587101",2005,263,197,243,455,260,SAU,75.69206,75.69206,282,Bagalkot,Bagalkot ,.99975151,77,16.145477,75.692062,3
1,57,29.755682,29.75568,79.737768,Uttrakhand,ICAR-Agricultural Technology Application Research Institute(Zone I),Bagheshwar,Krishi Vigyan Kendra Bagheshwar,"Krishi Vigyan Kendra,      Distt. Bagheshwar-","Krishi Vigyan Kendra,      Distt. Bagheshwar-",2007,531,27,81,18,3,ICAR,79.73777,79.73777,93,Bagheshwar,Bageshwar,.99771291,632,29.755682,79.73777,3
21,153,28.86381,28.86381,77.280407,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Baghpat,Krishi Vigyan Kendra Baghpat,"Krishi Vigyan Kendra,Meerut Road,Distt. Baghpat-250 609","Krishi Vigyan Kendra,Meerut Road,Distt. Baghpat-250 609",2004,51,549,27,24,44,SAU,77.28041,77.28041,31,Baghpat,Baghpat,1,610,28.86381,77.280411,3
72,204,.,27.56314,,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Bahraich,Krishi Vigyan Kendra Bahraich,"Krishi Vigyan KendraDistt. Bahraich, Uttar Pradesh.","Krishi Vigyan KendraDistt. Bahraich, Uttar Pradesh.",2018,88,244,221,88,36,SAU,.,81.58921,241,Bahraich,Bahraich-I,.99405944,563,27.563143,81.589211,3
65,197,27.563142,27.56314,81.589214,Uttar Pradesh,ICAR-Agricultural Technology Application Research Institute (Zone III: earlier Zone IV),Bahraich,Krishi Vigyan Kendra Bahraich,"Krishi Vigyan Kendra,Crop Research Station,Near Kisan Degree College,Distt. Bahraich-271 801","Krishi Vigyan Kendra,Crop Research Station,Near Kisan Degree College,Distt. Bahraich-271 801",1983,88,244,221,88,36,SAU,81.58921,81.58921,242,Bahraich,Bahraich-I,.99916428,563,27.563143,81.589211,3
16,372,27.899,27.87214,93.3515,Arunachal Pradesh,ICAR-Agricultural Technology Research Application Institute (Zone VI),Koloriang,Krishi Vigyan Kendra Koloriang,"Krishi Vigyan Kendra,Village(Chomi) PS Koloriang, ,Distt. Koloriang","Krishi Vigyan Kendra,Village(Chomi) PS Koloriang, ,Distt. Koloriang",2018,,,,,,State Govt,93.3515,81.48674,662,Koloriang,Bahraich-II,.6268574,575,27.872143,81.48674,3
25,355,26.511078,26.51108,91.651664,Assam,ICAR-Agricultural Technology Research Application Institute (Zone VI),Baksa (Assam),Krishi Vigyan Kendra Baksa,"Krishi Vigyan Kendra,Vill.-Dhepargaou, Mouza- KaurbhaGoreswar Revenue CircleDistt. –Baksa (Assam)","Krishi Vigyan Kendra,Vill.-Dhepargaou, Mouza- KaurbhaGoreswar Revenue CircleDistt. –Baksa (Assam)",2014,,,,,,SAU,91.65166,91.65166,686,Baksa (Assam),Baksa,.99186611,490,26.511078,91.651665,3
